program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
MINE,565,REQ-0028,required_course,ES 303,3,5,Fifth Semester,1,1,ES 303,5610303,STATISTICAL METHODS FOR ENGINEERS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0029,summer_practice,MINE 300,3,5,Fifth Semester,1,1,MINE 300,5650300,SUMMER PRACTICE I,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0030,required_course,MINE 309,3,5,Fifth Semester,1,1,MINE 309,5650309,MINERAL PROCESSING I,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0031,required_course,MINE 317,3,5,Fifth Semester,1,1,MINE 317,5650317,INTRODUCTION TO ROCK MECHANICS,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0032,required_course,ME 351,3,5,Fifth Semester,1,1,ME 351,5690351,THERMODYNAMICS OF HEAT POWER,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0033,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,1,TURK 105,6420105,TURKISH I,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0033,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,2,TURK 201,6420201,ELEMENTARY TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0033,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,3,TURK 303,6420303,TURKISH I,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0034,free_elective_pool,FREE ELECTIVE,3,5,Fifth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0035,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,3,5,Fifth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
