program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
CENG,571,REQ-0024,required_course,CENG 280,2,4,Fourth Semester,1,1,CENG 280,5710280,FORMAL LANGU.AND ABSTRACT MACHINES,3,3,0,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0025,course_choice,Any 1 of the following set ..,2,4,Fourth Semester,1,1,HIST 2202,2402202,,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0025,course_choice,Any 1 of the following set ..,2,4,Fourth Semester,1,2,HIST 2206,2402206,HISTORY OF THE TURKISH REVOLUTION II,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0026,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,2,4,Fourth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0027,summer_practice,CENG 300,3,5,Fifth Semester,1,1,CENG 300,5710300,SUMMER PRACTICE I,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0028,required_course,CENG 315,3,5,Fifth Semester,1,1,CENG 315,5710315,ALGORITHMS,3,3,0,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0029,required_course,CENG 331,3,5,Fifth Semester,1,1,CENG 331,5710331,COMPUTER ORGANIZATION,3,3,0,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0030,required_course,CENG 351,3,5,Fifth Semester,1,1,CENG 351,5710351,DATA MANAGEMENT AND FILE STRUCTURES,3,3,0,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0031,required_course,OHS 301,3,5,Fifth Semester,1,1,OHS 301,8770301,OCCUPATIONAL HEALTH AND SAFETY - II,0,0,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0032,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,1,TURK 105,6420105,TURKISH I,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0032,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,2,TURK 201,6420201,ELEMENTARY TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0032,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,3,TURK 303,6420303,TURKISH I,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0033,restricted_elective_pool,RESTRICTED ELECTIVE,3,5,Fifth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0034,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,3,5,Fifth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0035,required_course,CENG 334,3,6,Sixth Semester,1,1,CENG 334,5710334,INTRODUCTION TO OPERATING SYSTEMS,3,3,0,5.5,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
