program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
EEE,567,REQ-0027,course_choice,Any 1 of the following set ..,2,4,Fourth Semester,1,2,HIST 2206,2402206,HISTORY OF THE TURKISH REVOLUTION II,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0028,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,2,4,Fourth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0029,summer_practice,EE 300,3,5,Fifth Semester,1,1,EE 300,5670300,SUMMER PRACTICE I,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0030,required_course,EE 301,3,5,Fifth Semester,1,1,EE 301,5670301,SIGNALS AND SYSTEMS I,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0031,required_course,EE 303,3,5,Fifth Semester,1,1,EE 303,5670303,ELECTROMAGNETIC WAVES,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0032,required_course,EE 311,3,5,Fifth Semester,1,1,EE 311,5670311,ANALOG ELECTRONICS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0033,required_course,EE 313,3,5,Fifth Semester,1,1,EE 313,5670313,ANALOG ELECTRONICS LABORATORY,2,0,4,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0034,required_course,EE 361,3,5,Fifth Semester,1,1,EE 361,5670361,ELECTROMECHANICAL ENERGY CONVERSION I,4,3,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0035,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,1,TURK 105,6420105,TURKISH I,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0035,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,2,TURK 201,6420201,ELEMENTARY TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0035,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,3,TURK 303,6420303,TURKISH I,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0036,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,3,5,Fifth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0037,required_course,EE 302,3,6,Sixth Semester,1,1,EE 302,5670302,FEEDBACK SYSTEMS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0038,required_course,EE 314,3,6,Sixth Semester,1,1,EE 314,5670314,DIGITAL CIRCUITS LABORATORY,2,0,4,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0039,required_course,EE 348,3,6,Sixth Semester,1,1,EE 348,5670348,INTRODUCTION TO LOGIC DESIGN,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0040,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,1,TURK 106,6420106,TURKISH II,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0040,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,2,TURK 202,6420202,INTERMEDIATE TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0040,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,3,TURK 304,6420304,TURKISH II,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0041,restricted_elective_pool,RESTRICTED ELECTIVE,3,6,Sixth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0042,restricted_elective_pool,RESTRICTED ELECTIVE,3,6,Sixth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
