program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
PETE,566,REQ-0014,required_course,ENG 102,1,2,Second Semester,1,1,ENG 102,6390102,ENGLISH FOR ACADEMIC PURPOSES II,4,4,1,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0015,required_course,MATH 219,2,3,Third Semester,1,1,MATH 219,2360219,INTRODUCTION TO DIFFERENTIAL EQUATIONS,4,4,0,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0016,required_course,ES 202,2,3,Third Semester,1,1,ES 202,5610202,MATHEMATICS FOR ENGINEERS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0017,required_course,ES 221,2,3,Third Semester,1,1,ES 221,5610221,ENGINEERING MECHANICS I,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0018,required_course,GEOE 201,2,3,Third Semester,1,1,GEOE 201,5640201,GENERAL GEOLOGY,4,3,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0019,required_course,PETE 220,2,3,Third Semester,1,1,PETE 220,5660220,RESERVOIR ROCK PROPERTIES,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0020,course_choice,Any 1 of the following set ..,2,3,Third Semester,1,1,HIST 2201,2402201,,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0020,course_choice,Any 1 of the following set ..,2,3,Third Semester,1,2,HIST 2205,2402205,HISTORY OF THE TURKISH REVOLUTION I,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0021,required_course,ES 224,2,4,Fourth Semester,1,1,ES 224,5610224,STRENGTH OF MATERIALS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0022,required_course,CHE 204,2,4,Fourth Semester,1,1,CHE 204,5630204,THERMODYNAMICS I,4,4,0,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0023,required_course,PETE 211,2,4,Fourth Semester,1,1,PETE 211,5660211,INTRODUCTION TO FLUID MECHANICS,4,3,2,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0024,required_course,PETE 218,2,4,Fourth Semester,1,1,PETE 218,5660218,RESERVOIR FLUID PROPERTIES,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0025,required_course,ENG 211,2,4,Fourth Semester,1,1,ENG 211,6390211,ACADEMIC SPEAKING SKILLS,3,3,1,4.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0026,required_course,OHS 301,2,4,Fourth Semester,1,1,OHS 301,8770301,OCCUPATIONAL HEALTH AND SAFETY - II,0,0,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0027,course_choice,Any 1 of the following set ..,2,4,Fourth Semester,1,1,HIST 2202,2402202,,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0027,course_choice,Any 1 of the following set ..,2,4,Fourth Semester,1,2,HIST 2206,2402206,HISTORY OF THE TURKISH REVOLUTION II,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0028,required_course,ES 303,3,5,Fifth Semester,1,1,ES 303,5610303,STATISTICAL METHODS FOR ENGINEERS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0029,required_course,ES 361,3,5,Fifth Semester,1,1,ES 361,5610361,COMPUTING METHODS IN ENGINEERING,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0030,summer_practice,PETE 300,3,5,Fifth Semester,1,1,PETE 300,5660300,SUMMER PRACTICE I,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0031,required_course,PETE 321,3,5,Fifth Semester,1,1,PETE 321,5660321,DRILLING ENGINEERING I,4,3,2,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0032,required_course,PETE 331,3,5,Fifth Semester,1,1,PETE 331,5660331,PETROLEUM PRODUCTION ENGINEERING I,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0033,required_course,PETE 343,3,5,Fifth Semester,1,1,PETE 343,5660343,PETROLEUM RESERVOIR ENGINEERING I,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0034,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,1,TURK 105,6420105,TURKISH I,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0034,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,2,TURK 201,6420201,ELEMENTARY TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0034,course_choice,Any 1 of the following set ..,3,5,Fifth Semester,1,3,TURK 303,6420303,TURKISH I,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0035,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,3,5,Fifth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
PETE,566,REQ-0036,required_course,ECON 210,3,6,Sixth Semester,1,1,ECON 210,3110210,PRINCIPLES OF ECONOMICS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=566,scraped
