id,course_code,course_number,course_name,sources,curriculum_programs,requirement_types,scrape_status,found_semester
2360151,MATH 151,151,CALCULUS I,prerequisite_closure,,,not_found_in_searched_offerings,
2360219,MATH 219,219,INTRODUCTION TO DIFFERENTIAL EQUATIONS,curriculum;prerequisite_closure,CENG,required_course,scraped,20252
2360260,MATH 260,260,BASIC LINEAR ALGEBRA,curriculum;prerequisite_closure,CENG,required_course,scraped,20252
8770101,OHS 101,101,OCCUPATIONAL HEALTH AND SAFETY-I,curriculum;prerequisite_closure,CENG,required_course,scraped,20252
8770301,OHS 301,301,OCCUPATIONAL HEALTH AND SAFETY - II,curriculum;prerequisite_closure,CENG,required_course,scraped,20252
2300105,PHYS 105,105,GENERAL PHYSICS I,curriculum;prerequisite_closure,CENG,required_course,scraped,20251
2300106,PHYS 106,106,GENERAL PHYSICS II,curriculum;prerequisite_closure,CENG,required_course,scraped,20252
2300109,PHYS 109,109,MECHANICS,prerequisite_closure,,,scraped,20251
2300110,PHYS 110,110,ELECTROMAGNETISM,prerequisite_closure,,,scraped,20252
2300111,PHYS 111,111,PHYSICS I (MECHANICS),prerequisite_closure,,,scraped,20251
2300112,PHYS 112,112,PHYSICS II (ELECTRICITY AND MAGNETISM),prerequisite_closure,,,scraped,20252
2300200,PHYS 200,200,BASICS OF SCIENTIFIC COMPUTATION,prerequisite_closure,,,scraped,20252
6420105,TURK 105,105,TURKISH I,curriculum;prerequisite_closure,CENG,course_choice,scraped,20251
6420106,TURK 106,106,TURKISH II,curriculum,CENG,course_choice,scraped,20252
6420201,TURK 201,201,ELEMENTARY TURKISH I,curriculum;prerequisite_closure,CENG,course_choice,scraped,20252
6420202,TURK 202,202,INTERMEDIATE TURKISH I,curriculum,CENG,course_choice,scraped,20252
6420303,TURK 303,303,TURKISH I,curriculum;prerequisite_closure,CENG,course_choice,scraped,20252
6420304,TURK 304,304,TURKISH II,curriculum,CENG,course_choice,scraped,20252
