id,course_code,course_number,course_name,sources,curriculum_programs,requirement_types,scrape_status,found_semester
5690105,ME 105,105,COMPUTER AIDED ENGINEERING GRAPHICS,curriculum,IE,required_course,scraped,20252
5690210,ME 210,210,APPLIED MATH. FOR MECHANICAL ENGINEERS,prerequisite_closure,,,scraped,20252
5690212,ME 212,212,PRINCIPLES OF PRODUCTION ENGINEERING,curriculum,IE,required_course,scraped,20252
5690351,ME 351,351,THERMODYNAMICS OF HEAT POWER,curriculum,IE,required_course,scraped,20252
5700230,METE 230,230,FUNDAMENTALS OF MATERIALS SCIENCE AND ENGINEERING,curriculum,IE,required_course,scraped,20252
8770101,OHS 101,101,OCCUPATIONAL HEALTH AND SAFETY-I,curriculum;prerequisite_closure,IE,required_course,scraped,20252
8770301,OHS 301,301,OCCUPATIONAL HEALTH AND SAFETY - II,curriculum,IE,required_course,scraped,20252
2300105,PHYS 105,105,GENERAL PHYSICS I,curriculum,IE,required_course,scraped,20251
2300106,PHYS 106,106,GENERAL PHYSICS II,curriculum,IE,required_course,scraped,20252
6420105,TURK 105,105,TURKISH I,curriculum;prerequisite_closure,IE,course_choice,scraped,20251
6420106,TURK 106,106,TURKISH II,curriculum,IE,course_choice,scraped,20252
6420201,TURK 201,201,ELEMENTARY TURKISH I,curriculum;prerequisite_closure,IE,course_choice,scraped,20252
6420202,TURK 202,202,INTERMEDIATE TURKISH I,curriculum,IE,course_choice,scraped,20252
6420303,TURK 303,303,TURKISH I,curriculum;prerequisite_closure,IE,course_choice,scraped,20252
6420304,TURK 304,304,TURKISH II,curriculum,IE,course_choice,scraped,20252
