from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3590101,359 101,6390102,ENG 102,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390102,ENG 102,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3590102,359 102,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360155,MATH 155,5610303,ES 303,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360157,MATH 157,5610303,ES 303,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610303,ES 303,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360151,MATH 151,5610303,ES 303,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3570119,357 119,5610303,ES 303,5,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5730201,FDE 201,5730224,FDE 224,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730201,FDE 201,5730300,FDE 300,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770101,OHS 101,5730300,FDE 300,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
2340230,CHEM 230,5730310,FDE 310,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730313,FDE 313,5730310,FDE 310,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2380107,BIOL 107,5730311,FDE 311,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2190103,219 103,5730311,FDE 311,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2190104,219 104,5730311,FDE 311,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2380107,BIOL 107,5730313,FDE 313,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340229,CHEM 229,5730313,FDE 313,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340252,CHEM 252,5730314,FDE 314,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730313,FDE 313,5730314,FDE 314,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630204,CHE 204,5730314,FDE 314,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730313,FDE 313,5730314,FDE 314,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730224,FDE 224,5730321,FDE 321,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360253,MATH 253,5730321,FDE 321,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5730224,FDE 224,5730321,FDE 321,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,5730321,FDE 321,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630204,CHE 204,5730324,FDE 324,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730224,FDE 224,5730324,FDE 324,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,5730324,FDE 324,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730300,FDE 300,5730400,FDE 400,1,S,Undergraduate Practice / Lisans Staj,Offered Course / A??k Ders
