id,course_code,course_number,course_name,sources,curriculum_programs,requirement_types,scrape_status,found_semester
8770101,OHS 101,101,OCCUPATIONAL HEALTH AND SAFETY-I,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
8770301,OHS 301,301,OCCUPATIONAL HEALTH AND SAFETY - II,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
5660110,PETE 110,110,INTRODUCTION TO PETROLEUM ENGINEERING,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
5660211,PETE 211,211,INTRODUCTION TO FLUID MECHANICS,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
5660218,PETE 218,218,RESERVOIR FLUID PROPERTIES,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
5660220,PETE 220,220,RESERVOIR ROCK PROPERTIES,curriculum;prerequisite_closure,PETE,required_course,scraped,20251
5660300,PETE 300,300,SUMMER PRACTICE I,curriculum,PETE,summer_practice,scraped,20252
5660321,PETE 321,321,DRILLING ENGINEERING I,curriculum;prerequisite_closure,PETE,required_course,scraped,20251
5660322,PETE 322,322,DRILLING ENGINEERING II,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
5660331,PETE 331,331,PETROLEUM PRODUCTION ENGINEERING I,curriculum;prerequisite_closure,PETE,required_course,scraped,20251
5660332,PETE 332,332,PETROLEUM PRODUCTION ENGINEERING II,curriculum,PETE,required_course,scraped,20252
5660343,PETE 343,343,PETROLEUM RESERVOIR ENGINEERING I,curriculum;prerequisite_closure,PETE,required_course,scraped,20251
5660344,PETE 344,344,PETROLEUM RESERVOIR ENGINEERING II,curriculum,PETE,required_course,scraped,20252
5660352,PETE 352,352,WELL LOGGING,curriculum;prerequisite_closure,PETE,required_course,scraped,20252
5660400,PETE 400,400,SUMMER PRACTICE II,curriculum,PETE,summer_practice,scraped,20252
5660411,PETE 411,411,PETROLEUM PROPERTY VALUATION,curriculum,PETE,required_course,scraped,20251
5660417,PETE 417,417,PETROLEUM ENGINEERING DESIGN I,curriculum;prerequisite_closure,PETE,required_course,scraped,20251
5660418,PETE 418,418,PETROLEUM ENGINEERING DESIGN II,curriculum,PETE,required_course,scraped,20252
5660461,PETE 461,461,NATURAL GAS ENGINEERING,curriculum,PETE,required_course,scraped,20251
2300105,PHYS 105,105,GENERAL PHYSICS I,curriculum;prerequisite_closure,PETE,required_course,scraped,20251
2300106,PHYS 106,106,GENERAL PHYSICS II,curriculum,PETE,required_course,scraped,20252
6420105,TURK 105,105,TURKISH I,curriculum;prerequisite_closure,PETE,course_choice,scraped,20251
6420106,TURK 106,106,TURKISH II,curriculum,PETE,course_choice,scraped,20252
6420201,TURK 201,201,ELEMENTARY TURKISH I,curriculum;prerequisite_closure,PETE,course_choice,scraped,20252
6420202,TURK 202,202,INTERMEDIATE TURKISH I,curriculum,PETE,course_choice,scraped,20252
6420303,TURK 303,303,TURKISH I,curriculum;prerequisite_closure,PETE,course_choice,scraped,20252
6420304,TURK 304,304,TURKISH II,curriculum,PETE,course_choice,scraped,20252
