program_abbr,semester_no,semester_text,department_value,department_text,numeric_code,display_code,course_number,course_name,ects_credit,credit,level,type,source_url,retrieved_at_utc,content_path
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710334,CENG 334,334,INTRODUCTION TO OPERATING SYSTEMS (İŞLETİM SİSTEMLERİNE GİRİŞ ),5.5,"3.00 (3.00,0.00,)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710336,CENG 336,336,INTRO.TO EMBEDDED SYSTEMS DEVELOPMENT (GÖMÜLÜ SİSTEM GELİŞTİRMEYE GİRİŞ ),5.5,"3.00 (2.00,2.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710350,CENG 350,350,SOFTWARE ENGINEERING (YAZILIM MÜHENDİSLİĞİ ),5.5,"3.00 (3.00,0.00,)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710352,CENG 352,352,DATABASE MANAGEMENT SYSTEMS (VERİ TABANI YÖNETİM SİSTEMLERİ ),6.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710371,CENG 371,371,SCIENTIFIC COMPUTING (BİLİMSEL HESAPLAMA ),6.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Elective / Seçmeli,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710382,CENG 382,382,ANALYSIS OF DYNAMIC SYSTEMS (DİNAMİK SİSTEMLERİN ANALİZİ ),5.5,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710384,CENG 384,384,SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS (BİLGİSAYAR MÜHENDİSLERİ İÇİN SİNYAL VE SİSTEMLER ),5.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710400,CENG 400,400,SUMMER PRACTICE II (YAZ STAJI II ),8.0,"0.00 (0.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate Practice / Lisans Staj,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710403,CENG 403,403,SPECIAL TOPICS IN COMPUTER ENGINEERING: INTRODUCTION TO DEEP LEARNING (BİLGİSAYAR MÜHENDİSLİĞİ ÖZEL KONULAR : DERİN ÖĞRENMEYE GİRİŞ ),6.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710443,CENG 443,443,INTRODUCTION TO OBJECT-ORIENTED PROG. LANG. AND SYSTEMS (NESNE YÖNELİMLİ PROGRAMLAMA DİLLERİ VE SİSTEMLERİNE GİRİŞ ),6.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
